threshold,accuracy,precision_eject,recall_eject,f1_eject,specificity_stable,tn,fp,fn,tp
1.5,0.8418841884188419,0.902555910543131,0.436461954422557,0.5883884405102838,0.9835357624831309,7288,122,1459,1130
1.525,0.8421842184218422,0.902788844621514,0.43762070297412126,0.5894901144640999,0.9835357624831309,7288,122,1456,1133
1.55,0.8425842584258426,0.9030976965845909,0.4391657010428737,0.590956340956341,0.9835357624831309,7288,122,1452,1137
1.575,0.8428842884288429,0.9033280507131537,0.440324449594438,0.5920540119449493,0.9835357624831309,7288,122,1449,1140
1.6,0.8431843184318432,0.9022852639873916,0.44225569718037855,0.5935717988595127,0.9832658569500675,7286,124,1444,1145
1.625,0.8435843584358436,0.9019607843137255,0.44418694476631904,0.5952380952380952,0.9831309041835358,7285,125,1439,1150
1.65,0.8438843884388438,0.9015625,0.44573194283507145,0.5965365727578186,0.982995951417004,7284,126,1435,1154
1.675,0.8442844284428442,0.9,0.4484356894553882,0.5986078886310905,0.9825910931174089,7281,129,1428,1161
1.7,0.8444844484448445,0.8995363214837713,0.4495944380069525,0.5995364408962143,0.9824561403508771,7280,130,1425,1164
1.725,0.8454845484548454,0.8996937212863706,0.45384318269602164,0.6033376123234917,0.9823211875843455,7279,131,1414,1175
1.75,0.8462846284628462,0.8990895295902883,0.45770567786790267,0.6066035321218326,0.982051282051282,7277,133,1404,1185
1.775,0.8465846584658466,0.8981132075471698,0.45963692545384316,0.6080735820132857,0.9817813765182186,7275,135,1399,1190
1.8,0.8473847384738474,0.8975317875841436,0.46349942062572425,0.6113092205807438,0.9815114709851552,7273,137,1389,1200
1.825,0.8486848684868487,0.8973412112259971,0.46929316338354576,0.6162820187674359,0.9812415654520917,7271,139,1374,1215
1.85,0.8494849484948495,0.8956204379562044,0.473928157589803,0.6198534983581713,0.980701754385965,7267,143,1362,1227
1.875,0.8501850185018501,0.893294881038212,0.47856315179606024,0.6232394366197183,0.9800269905533063,7262,148,1350,1239
1.9,0.8507850785078508,0.8898365316275764,0.4835843955195056,0.6266266266266266,0.9790823211875843,7255,155,1337,1252
1.925,0.8516851685168517,0.8877980364656382,0.48899188876013905,0.6306351183063512,0.9784075573549258,7250,160,1323,1266
1.95,0.8529852985298529,0.8855961405926946,0.49633062958671303,0.6361386138613861,0.9775978407557355,7244,166,1304,1285
1.975,0.8534853485348535,0.8781965006729475,0.5040556199304751,0.6404907975460122,0.9755735492577597,7229,181,1284,1305
2.0,0.8548854885488549,0.8748353096179183,0.5129393588258014,0.6467007548088629,0.9743589743589743,7220,190,1261,1328
2.025,0.8576857685768576,0.8761290322580645,0.5245268443414446,0.6561971490698236,0.974089068825911,7218,192,1231,1358
2.05,0.8592859285928592,0.8731060606060606,0.5341830822711472,0.6628324946081955,0.9728744939271255,7209,201,1206,1383
2.075,0.8604860486048604,0.8689740420271941,0.5430668211664735,0.6684097932018065,0.9713900134952766,7198,212,1183,1406
2.1,0.8613861386138614,0.8652094717668488,0.5504055619930475,0.6728045325779037,0.9700404858299595,7188,222,1164,1425
2.125,0.862086208620862,0.8584123222748815,0.5596755504055619,0.6775777414075287,0.9677462887989203,7171,239,1140,1449
2.15,0.8626862686268627,0.8534883720930233,0.567014291232136,0.6813645857507542,0.965991902834008,7158,252,1121,1468
2.175,0.8633863386338634,0.8480364257256687,0.5755117806102742,0.6856879889553612,0.9639676113360324,7143,267,1099,1490
2.2,0.863986398639864,0.8427216954824317,0.5836230204712244,0.6896394340483797,0.9619433198380567,7128,282,1078,1511
2.225,0.8647864786478647,0.8385331143951834,0.5917342603321746,0.6938405797101449,0.9601889338731444,7115,295,1057,1532
2.25,0.8647864786478647,0.8312801285484734,0.5994592506759366,0.696588868940754,0.9574898785425101,7095,315,1037,1552
2.275,0.8650865086508651,0.8249475890985325,0.607956740054075,0.7000222370469201,0.9549257759784076,7076,334,1015,1574
2.3,0.8655865586558655,0.8187403993855606,0.6176129779837776,0.7040951122853368,0.9522267206477733,7056,354,990,1599
2.325,0.8667866786678667,0.8134663341645886,0.6299729625337969,0.7100565955594254,0.949527665317139,7036,374,958,1631
2.35,0.8660866086608661,0.8063725490196079,0.6353804557744303,0.7107366601857853,0.946693657219973,7015,395,944,1645
2.375,0.8659865986598659,0.799807969275084,0.6434916956353804,0.7131849315068494,0.9437246963562753,6993,417,923,1666
2.4,0.8658865886588659,0.7943396226415095,0.6504441869447664,0.7152261626672329,0.9411605937921728,6974,436,905,1684
2.425,0.8643864386438644,0.7829279486002754,0.6589416763229046,0.7156040268456376,0.9361673414304993,6937,473,883,1706
2.45,0.8636863686368637,0.7763751127141569,0.6651216685979142,0.7164551695444143,0.9330634278002699,6914,496,867,1722
2.475,0.8631863186318632,0.7683516483516484,0.675164156044805,0.71875,0.9288798920377868,6883,527,841,1748
2.5,0.862986298629863,0.7614757614757615,0.6855928930088837,0.7215447154471545,0.924966261808367,6854,556,814,1775
2.5250000000000004,0.861986198619862,0.7528230865746549,0.6952491309385863,0.7228915662650602,0.9202429149797571,6819,591,789,1800
2.55,0.8607860786078608,0.7451863990167964,0.7025878717651602,0.7232604373757455,0.916059379217274,6788,622,770,1819
